district,period,food_insecurity_pct
Mhondoro-ngezi,2019-02,20.0
Hurungwe,2019-02,15.0
Gwanda,2019-02,25.0
Bulilima,2019-02,35.0
Matobo,2019-02,15.0
Mangwe,2019-02,20.0
Umzingwane,2019-02,25.0
Beitbridge,2019-02,30.0
Insiza,2019-02,30.0
Muzarabani,2019-02,30.0
Rushinga,2019-02,20.0
Mbire,2019-02,25.0
Guruve,2019-02,25.0
Mount Darwin,2019-02,30.0
Shamva,2019-02,30.0
Bindura,2019-02,20.0
Mazowe,2019-02,45.0
Chimanimani,2019-02,35.0
Chipinge,2019-02,30.0
Mutare,2019-02,30.0
Buhera,2019-02,55.0
Mutasa,2019-02,15.0
Makoni,2019-02,35.0
Nyanga,2019-02,42.0
Masvingo,2019-02,35.0
Bikita,2019-02,25.0
Mwenezi,2019-02,40.0
Chivi,2019-02,25.0
Zaka,2019-02,25.0
Chiredzi,2019-02,35.0
Gutu,2019-02,25.0
